C1, 54.00, 66.00, 180.00, 100uF, D/7343-31R
C2, 51.00, 35.00, 270.00, 100nF, 1206
C3, 54.00, 24.00, 270.00, 22uF, 1206
C4, 21.00, 53.00, 270.00, 100nF, 1206
C5, 18.00, 53.00, 270.00, 22uF, 1206
C6, 62.50, 66.50, 180.00, 100nF, 1206
C7, 50.50, 58.50, 90.00, 100nF, 1206
C8, 50.50, 46.50, 270.00, 100nF, 1206
D2, 23.00, 65.00, 180.00, , SOD123
D3, 40.00, 65.00, 180.00, , SOD123
D4, 18.00, 15.00, 0.00, , SOD123
D5, 35.00, 15.00, 0.00, , SOD123
IC1, 58.85, 46.00, 90.00, 7809DT, TO252
IC2, 62.00, 23.00, 90.00, LM1117-3.3, SOT223
IC3, 58.85, 34.00, 90.00, 7805DT, TO252
IC4, 58.35, 58.00, 90.00, 7812DT, TO252
OK1, 20.00, 69.00, 270.00, SFH6186-4, SMD4-7
OK2, 37.00, 69.00, 270.00, SFH6186-4, SMD4-7
OK3, 20.00, 10.00, 90.00, SFH6186-4, SMD4-7
OK4, 37.00, 10.00, 90.00, SFH6186-4, SMD4-7
R1, 69.40, 67.20, 180.00, 470, 1206
R10, 35.00, 4.00, 90.00, 470, R1206
R11, 69.40, 63.80, 180.00, 10k, 1206
R12, 71.00, 58.50, 270.00, 150, 1206
R13, 71.00, 46.50, 270.00, 150, 1206
R14, 71.00, 34.50, 270.00, 150, 1206
R15, 71.00, 22.50, 270.00, 150, 1206
R2, 69.40, 70.10, 180.00, 10K, R1206
R3, 18.00, 75.00, 90.00, 10K, R1206
R4, 35.00, 75.00, 90.00, 10K, R1206
R5, 22.00, 4.00, 270.00, 10K, R1206
R6, 39.00, 4.00, 270.00, 10K, R1206
R7, 22.00, 75.00, 90.00, 470, R1206
R8, 39.00, 75.00, 90.00, 470, R1206
R9, 18.00, 4.00, 90.00, 470, R1206
SJ1, 47.10, 58.50, 90.00, , SJ_2
T1, 18.00, 64.00, 180.00, BC847, SOT23
T2, 35.00, 64.00, 180.00, BC847, SOT23
T3, 23.00, 16.00, 0.00, BC847, SOT23
T4, 40.00, 16.00, 0.00, BC847, SOT23
U$6, 69.80, 75.33, 180.00, SWITCH_SPDT, KPS-1290
U1, 32.43, 40.60, 270.00, ESP-32S, ESP-32S
U4, 54.00, 72.00, 90.00, MB6S, SOIC-4
