J1, 70.00, 72.75, 270.00, AUDIO_JACK_TRRSSMD_RA, AUDIO_JACK_3.5MM_TRRS_SMD_RA
J2, 60.00, 72.75, 270.00, AUDIO_JACK_TRRSSMD_RA, AUDIO_JACK_3.5MM_TRRS_SMD_RA
J3, 50.00, 72.75, 270.00, AUDIO_JACK_TRRSSMD_RA, AUDIO_JACK_3.5MM_TRRS_SMD_RA
J4, 40.00, 72.75, 270.00, AUDIO_JACK_TRRSSMD_RA, AUDIO_JACK_3.5MM_TRRS_SMD_RA
L1, 77.00, 74.00, 270.00, Green, LED1206
L2, 12.00, 6.00, 0.00, Blue, LED1206
L3, 32.00, 6.00, 0.00, Blue, LED1206
L4, 52.00, 6.00, 0.00, Blue, LED1206
L5, 72.00, 6.00, 0.00, Blue, LED1206
S1, 85.00, 71.00, 180.00, Reset, TACTILE_SWITCH_TALL
S2, 18.00, 32.00, 180.00, 219-06, CTS-219-06
S3, 39.00, 32.00, 180.00, 219-06, CTS-219-06
S4, 60.00, 32.00, 180.00, 219-06, CTS-219-06
S5, 81.00, 32.00, 180.00, 219-06, CTS-219-06
U1, 73.58, 55.60, 270.00, ESP-32S, ESP-32S
